trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
221,False,"{'a': 0.1, 'e': 0.17409203432417364}",25,19,10.591864432253255,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.1, 'e': 0.1713834670884241}",25,11,17.563552550495842,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.1, 'e': 0.1687052302235941}",25,12,25.6208145260466,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.1, 'e': 0.16605722177555837}",20,13,11.799732694127204,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.1, 'e': 0.16343933508883893}",20,12,13.197726474521811,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.1, 'e': 0.16085145891002403}",20,6,19.02743079914023,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.1, 'e': 0.15829347749115708}",20,3,-26.64958743427902,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
228,False,"{'a': 0.1, 'e': 0.15576527069305254}",25,10,23.296138579188764,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.1, 'e': 0.15326671408849726}",25,20,6.911195681954457,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.1, 'e': 0.15079767906529568}",20,14,5.081378741108778,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.1, 'e': 0.14835803292911878}",25,15,8.839574984327465,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.1, 'e': 0.14594763900611704}",30,0,-51.27107117522921,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",1
233,False,"{'a': 0.1, 'e': 0.1435663567452584}",20,0,-27.26940114218691,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
234,False,"{'a': 0.1, 'e': 0.14121404182035277}",20,10,19.75667982833332,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.1, 'e': 0.13889054623172636}",30,16,-26.64669117281415,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
236,False,"{'a': 0.1, 'e': 0.13659571840750853}",25,11,15.370330000696185,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.1, 'e': 0.13432940330449558}",20,2,32.116125358471095,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.1, 'e': 0.13209144250855642}",20,4,1.5373621672210003,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
239,False,"{'a': 0.1, 'e': 0.12988167433454603}",20,13,14.214105426139714,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.1, 'e': 0.1276999339256929}",20,16,7.725677073057124,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.1, 'e': 0.1255460533524281}",30,2,35.35382034357746,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.1, 'e': 0.12341986171062415}",20,8,20.959144055001644,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.1, 'e': 0.12132118521921247}",20,9,17.701889481248436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.1, 'e': 0.1192498473171496}",30,11,34.78084818760678,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.1, 'e': 0.1172056687597025}",20,6,25.185576193984407,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.1, 'e': 0.11518846771402454}",30,13,19.54239970386221,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.1, 'e': 0.11319805985399464}",20,10,16.766555088893462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.1, 'e': 0.11123425845429241}",30,20,11.992624881158745,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.1, 'e': 0.10929687448368355}",25,9,22.57006412950616,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.1, 'e': 0.10738571669749017}",30,18,-0.27304606724034475,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
